                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.95516,                 6.3786,                0.89317,                0.01583,                0.33333,                0.02304,                0.01883,                0.70796,                 6.7046,                0.85309,                 0.0937,                 0.0007,                 0.0007
                      1,                 0.8486,                 4.7602,                0.88205,                0.99885,                      1,                  0.995,                0.89157,                0.54456,                0.96734,                0.81259,               0.086485,              0.0014851,              0.0014851
                      2,                0.67045,                0.80794,                0.85603,                0.99863,                      1,                  0.995,                0.90989,                0.46492,                0.36951,                 0.7978,               0.079254,              0.0022545,              0.0022545
                      3,                0.60258,                0.51652,                0.84876,                0.99914,                      1,                  0.995,                0.92401,                0.39555,                0.37849,                0.79098,               0.072008,              0.0030079,              0.0030079
                      4,                0.63569,                0.43529,                0.85996,                0.99909,                      1,                  0.995,                0.93697,                0.39407,                0.36447,                0.79039,               0.064746,              0.0037456,              0.0037456
                      5,                0.58311,                0.46407,                0.84702,                0.99908,                      1,                  0.995,                0.89862,                0.47172,                0.49492,                0.79777,               0.057467,              0.0044673,              0.0044673
                      6,                0.55705,                0.46888,                0.82849,                0.99892,                      1,                  0.995,                0.85246,                0.54027,                0.37005,                0.81522,               0.050173,              0.0051733,              0.0051733
                      7,                0.65028,                0.42602,                0.85136,                0.99809,                      1,                  0.995,                0.88587,                0.46898,                0.51004,                0.79378,               0.042863,              0.0058634,              0.0058634
                      8,                0.57869,                0.48048,                0.84059,                0.99898,                      1,                  0.995,                0.89335,                0.66421,                0.61379,                0.82265,               0.035538,              0.0065377,              0.0065377
                      9,                0.64847,                0.52463,                 0.8566,                0.99862,                      1,                  0.995,                0.88569,                0.44352,                0.47124,                0.80633,               0.028196,              0.0071961,              0.0071961
                     10,                0.61885,                0.65474,                0.85701,                0.99884,                      1,                  0.995,                0.90647,                0.47906,                0.41612,                0.80443,               0.020839,              0.0078387,              0.0078387
                     11,                0.67524,                0.48289,                0.86079,                0.99901,                      1,                  0.995,                0.87587,                0.55376,                0.66667,                0.82199,               0.013465,              0.0084655,              0.0084655
                     12,                 0.6088,                0.57619,                 0.8676,                0.99668,                      1,                  0.995,                0.89709,                0.49563,                0.55808,                0.81372,               0.008812,               0.008812,               0.008812
                     13,                0.72876,                0.47543,                0.87483,                 0.9969,                      1,                  0.995,                0.87764,                0.52347,                0.72716,                0.82571,               0.008812,               0.008812,               0.008812
                     14,                0.65582,                0.47139,                 0.8609,                0.99694,                      1,                  0.995,                0.87631,                0.58902,                 0.7296,                0.83442,               0.008713,               0.008713,               0.008713
                     15,                0.59174,                0.44265,                0.84635,                0.99177,                      1,                  0.995,                0.87573,                0.51554,                0.52111,                0.82516,               0.008614,               0.008614,               0.008614
                     16,                0.62111,                0.43499,                0.87097,                0.99888,                      1,                  0.995,                0.89762,                0.47875,                0.56841,                0.81652,               0.008515,               0.008515,               0.008515
                     17,                0.57368,                0.43328,                0.86607,                  0.999,                      1,                  0.995,                0.89484,                0.48835,                0.50799,                0.81809,               0.008416,               0.008416,               0.008416
                     18,                0.60225,                0.42757,                0.85818,                0.99899,                      1,                  0.995,                0.90943,                  0.491,                0.52307,                0.82836,               0.008317,               0.008317,               0.008317
                     19,                0.55998,                0.38817,                0.85814,                 0.9991,                      1,                  0.995,                0.88059,                0.52491,                0.47586,                0.82849,               0.008218,               0.008218,               0.008218
                     20,                0.55374,                0.40029,                0.84553,                0.99915,                      1,                  0.995,                0.87535,                0.53587,                0.55401,                0.82491,               0.008119,               0.008119,               0.008119
                     21,                0.55782,                0.37907,                0.84288,                0.99896,                      1,                  0.995,                0.91657,                0.49919,                0.41077,                0.82181,                0.00802,                0.00802,                0.00802
                     22,                0.56717,                0.39309,                0.85251,                0.99914,                      1,                  0.995,                0.87328,                0.55413,                0.51202,                0.82802,               0.007921,               0.007921,               0.007921
                     23,                0.54316,                0.36798,                 0.8489,                0.99912,                      1,                  0.995,                0.89693,                0.49604,                0.38617,                0.82171,               0.007822,               0.007822,               0.007822
