                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.93145,                 4.3502,                0.90132,                0.00102,                0.41667,                0.00104,                 0.0007,                0.82513,                 3.8929,                0.89495,                    0.1,                      0,                      0
                      1,                 1.0655,                 4.4655,                0.95263,                0.00101,                0.41667,                0.00109,                0.00071,                0.83301,                 3.8895,                0.89732,                 0.0991,              9.967e-05,              9.967e-05
                      2,                 1.0035,                 4.3909,                0.91428,                0.00102,                0.41667,                0.00101,                0.00062,                0.83157,                 3.8853,                0.89712,               0.098199,             0.00019868,             0.00019868
                      3,                0.99296,                 4.4155,                0.96365,                0.00146,                    0.5,                0.00123,                0.00081,                0.83374,                 3.8863,                0.89744,               0.097297,             0.00029703,             0.00029703
                      4,                0.99527,                 4.5262,                 0.9676,                0.00125,                0.41667,                0.00104,                 0.0008,                0.83952,                 3.8854,                0.89818,               0.096395,             0.00039472,             0.00039472
                      5,                 1.0233,                 4.3697,                0.91395,                0.00146,                    0.5,                0.00123,                0.00084,                0.83839,                 3.8889,                0.89821,               0.095492,             0.00049175,             0.00049175
                      6,                0.94024,                  4.405,                0.92345,                0.00146,                    0.5,                0.00134,                 0.0011,                0.76208,                 3.8683,                0.88628,               0.094588,             0.00058812,             0.00058812
                      7,                0.86852,                 4.3101,                0.87852,                0.00168,                0.58333,                0.00166,                0.00143,                0.63361,                 3.8487,                0.87006,               0.093684,             0.00068383,             0.00068383
                      8,                0.86072,                 4.3503,                 0.9069,                0.00168,                0.58333,                0.00245,                0.00199,                0.61494,                 3.8505,                0.86523,               0.092779,             0.00077888,             0.00077888
                      9,                0.71972,                 4.3738,                0.86433,                0.00283,                0.83333,                 0.0037,                0.00267,                  0.725,                 3.8808,                0.86895,               0.091873,             0.00087327,             0.00087327
                     10,                0.66669,                 4.1586,                0.84909,                0.00319,                0.91667,                0.00413,                0.00274,                0.72911,                 3.8762,                0.86917,               0.090967,               0.000967,               0.000967
                     11,                0.71278,                 3.9833,                0.86522,                0.00352,                      1,                0.00464,                0.00357,                0.72203,                 3.8462,                0.86651,                0.09006,              0.0010601,              0.0010601
                     12,                0.65714,                 3.8107,                0.85081,                0.00344,                      1,                0.00463,                0.00386,                0.65491,                 3.7965,                0.86261,               0.089152,              0.0011525,              0.0011525
                     13,                0.68943,                 3.6727,                0.86475,                 0.0034,                      1,                 0.0046,                 0.0039,                0.59093,                 3.7634,                0.85888,               0.088244,              0.0012442,              0.0012442
                     14,                0.65889,                 3.3775,                0.81138,                0.00334,                      1,                0.00452,                0.00392,                0.57208,                 3.7212,                0.85567,               0.087335,              0.0013353,              0.0013353
                     15,                0.58989,                 2.6203,                0.81958,                0.00344,                      1,                0.00449,                0.00376,                0.61051,                 3.5732,                0.85584,               0.086426,              0.0014257,              0.0014257
                     16,                0.60708,                 2.2868,                0.83248,                0.00355,                      1,                0.00444,                0.00369,                0.63745,                 3.5129,                0.85431,               0.085516,              0.0015155,              0.0015155
                     17,                0.58673,                 1.9558,                 0.7945,                0.00356,                      1,                 0.0044,                0.00364,                0.61409,                 3.5012,                 0.8551,               0.084605,              0.0016046,              0.0016046
                     18,                0.75255,                 2.2151,                0.86972,                0.00355,                      1,                0.00435,                0.00366,                0.58293,                 3.5018,                0.85159,               0.083693,              0.0016931,              0.0016931
                     19,                 0.6773,                 1.8267,                0.84744,                0.00354,                      1,                0.00433,                0.00365,                0.60391,                 3.5206,                0.85338,               0.082781,              0.0017809,              0.0017809
                     20,                0.63796,                 1.7963,                0.82542,                0.00354,                      1,                0.00432,                 0.0035,                0.66371,                 3.5438,                0.85786,               0.081868,               0.001868,               0.001868
                     21,                0.72339,                  1.743,                0.79739,                0.00353,                      1,                0.00444,                0.00364,                0.63259,                 3.5192,                 0.8544,               0.080954,              0.0019545,              0.0019545
                     22,                0.57964,                 1.4683,                0.79722,                0.00349,                      1,                0.00472,                0.00367,                0.61282,                 3.5274,                0.85192,                0.08004,              0.0020403,              0.0020403
                     23,                0.67854,                 1.5581,                0.86036,                0.00348,                      1,                0.00476,                0.00368,                0.56615,                 3.5038,                0.85136,               0.079125,              0.0021254,              0.0021254
                     24,                0.60352,                 1.4422,                0.83489,                0.00347,                      1,                0.00564,                0.00406,                0.63274,                 3.5076,                0.85091,                0.07821,              0.0022099,              0.0022099
                     25,                0.52789,                 1.1962,                0.80619,                0.00348,                      1,                0.01181,                0.00949,                0.64487,                 3.5176,                0.85765,               0.077294,              0.0022938,              0.0022938
                     26,                0.72049,                 1.5086,                0.84241,                 0.0038,                      1,                0.00509,                0.00377,                0.66238,                 3.5309,                0.86126,               0.076377,              0.0023769,              0.0023769
                     27,                0.63965,                 1.2802,                 0.8289,                0.00395,                      1,                0.08697,                0.07764,                0.78624,                 3.5619,                0.86439,               0.075459,              0.0024594,              0.0024594
                     28,                0.65517,                 1.2687,                0.84447,                0.00405,                      1,                 0.2506,                0.22817,                0.58965,                 3.5335,                0.85283,               0.074541,              0.0025413,              0.0025413
                     29,                0.55738,                 1.1988,                 0.8275,                0.00403,                      1,                0.33774,                0.28703,                0.71638,                 3.5455,                0.86405,               0.073622,              0.0026225,              0.0026225
                     30,                0.70808,                 1.2049,                0.86026,                0.00411,                      1,                0.25061,                0.25018,                0.55455,                 3.5548,                0.84842,               0.072703,               0.002703,               0.002703
                     31,                0.53286,                 1.0482,                0.80463,                0.00408,                      1,                0.25341,                0.21981,                0.60224,                  3.551,                0.84469,               0.071783,              0.0027829,              0.0027829
