                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0311,                 4.2842,                0.99568,                0.00165,                  0.575,                0.00255,                0.00156,                 0.7268,                 3.8379,                0.84554,                 0.0937,                 0.0007,                 0.0007
                      1,                0.89167,                 4.0039,                0.89589,                0.00348,                      1,                  0.007,                0.00413,                0.73058,                 3.6498,                0.82092,               0.086495,               0.001495,               0.001495
                      2,                0.82704,                 2.4066,                0.85921,                0.00334,                0.98333,                0.05959,                  0.035,                0.63752,                 3.4291,                0.78976,               0.079285,              0.0022848,              0.0022848
                      3,                0.82681,                  2.581,                0.85361,                0.00336,                0.99167,                0.51696,                0.36549,                0.83179,                 3.3778,                0.81802,               0.072069,              0.0030693,              0.0030693
                      4,                0.71636,                 1.9224,                0.82543,                0.00382,                0.99167,                0.56448,                0.42346,                0.76821,                 3.3975,                0.81305,               0.064849,              0.0038485,              0.0038485
                      5,                0.71744,                 1.6954,                0.83202,                0.00394,                      1,                0.64834,                0.48022,                0.76542,                 3.2942,                0.82062,               0.057622,              0.0046225,              0.0046225
                      6,                0.75912,                 1.3913,                0.87508,                0.00405,                      1,                0.73573,                0.55954,                0.77238,                 3.1829,                0.81724,               0.050391,              0.0053911,              0.0053911
                      7,                0.74859,                 1.2039,                0.84668,                0.81947,                0.98338,                0.99095,                0.66437,                 1.0845,                 2.7647,                0.88596,               0.043154,              0.0061545,              0.0061545
                      8,                0.85338,                 1.1075,                 0.8937,                0.99176,                0.49734,                0.99451,                0.65946,                0.95369,                 2.5404,                 0.8811,               0.035913,              0.0069126,              0.0069126
                      9,                0.78119,                 1.0482,                0.87421,                      1,                0.43043,                0.99344,                0.66448,                 1.1592,                 2.1952,                0.95844,               0.028665,              0.0076654,              0.0076654
                     10,                0.81854,                0.95246,                0.89599,                0.99513,                0.80557,                  0.995,                0.70417,                 1.0357,                 1.6584,                0.94054,               0.021413,              0.0084129,              0.0084129
                     11,                0.75095,                 0.9272,                0.85843,                0.68352,                0.96534,                0.97028,                0.55454,                 1.4115,                 1.4039,                 1.0422,               0.014155,              0.0091552,              0.0091552
