                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1429,                 6.0184,                0.99881,                0.07797,                0.76667,                0.07729,                0.06173,                0.85472,                 5.2836,                0.83861,                 0.0937,                 0.0007,                 0.0007
                      1,                 1.1248,                 4.4804,                 1.0122,                      1,                0.96637,                0.99141,                0.75766,                0.90901,                 1.1507,                0.84578,               0.086485,              0.0014851,              0.0014851
                      2,                0.84542,                0.85775,                0.93223,                0.99842,                      1,                  0.995,                0.79104,                0.70154,                0.54697,                0.85906,               0.079254,              0.0022545,              0.0022545
                      3,                0.56738,                0.47442,                  0.845,                0.98312,                0.97065,                0.99303,                0.85647,                0.57234,                0.47619,                0.81364,               0.072008,              0.0030079,              0.0030079
                      4,                0.54885,                0.44146,                0.85007,                      1,                0.99935,                  0.995,                 0.8281,                0.64849,                0.45058,                0.77826,               0.064746,              0.0037456,              0.0037456
                      5,                0.49761,                0.45132,                0.83741,                0.99905,                      1,                  0.995,                 0.8988,                0.50126,                0.38052,                0.80014,               0.057467,              0.0044673,              0.0044673
                      6,                 0.4983,                0.46361,                0.82043,                0.99913,                      1,                  0.995,                0.88739,                0.55282,                0.53591,                0.78819,               0.050173,              0.0051733,              0.0051733
                      7,                0.51452,                0.46479,                0.84193,                0.99899,                      1,                  0.995,                0.85225,                0.64832,                0.41618,                0.80974,               0.042863,              0.0058634,              0.0058634
                      8,                0.62238,                0.45023,                0.85503,                0.99912,                      1,                  0.995,                0.87608,                0.56609,                0.45562,                0.79544,               0.035538,              0.0065377,              0.0065377
                      9,                  0.512,                0.51215,                0.83237,                 0.9991,                      1,                  0.995,                0.81921,                0.64039,                0.49578,                0.80511,               0.028196,              0.0071961,              0.0071961
                     10,                0.60574,                0.51472,                0.84821,                0.99777,                      1,                  0.995,                0.87355,                0.50224,                0.54899,                0.79899,               0.020839,              0.0078387,              0.0078387
                     11,                0.55299,                0.50398,                0.84347,                0.99904,                      1,                  0.995,                0.86639,                0.56891,                 0.4936,                0.82211,               0.013465,              0.0084655,              0.0084655
                     12,                 0.5885,                0.54541,                  0.863,                0.99415,                      1,                  0.995,                0.84212,                0.59308,                0.59656,                0.82635,               0.008812,               0.008812,               0.008812
                     13,                0.58628,                0.52099,                0.84981,                0.99819,                      1,                  0.995,                0.84472,                 0.5881,                0.61972,                0.80016,               0.008812,               0.008812,               0.008812
                     14,                0.58088,                0.45585,                0.86792,                0.99807,                      1,                  0.995,                0.86378,                0.54525,                0.54043,                0.80742,               0.008713,               0.008713,               0.008713
                     15,                0.49894,                0.48084,                0.84478,                0.99898,                      1,                  0.995,                0.83531,                0.60191,                0.56053,                0.80729,               0.008614,               0.008614,               0.008614
                     16,                 0.5763,                0.42894,                 0.8599,                0.99898,                      1,                  0.995,                0.84379,                0.57964,                0.61963,                0.83306,               0.008515,               0.008515,               0.008515
                     17,                0.56335,                0.44098,                0.87237,                0.99889,                      1,                  0.995,                0.84517,                0.60779,                0.46024,                0.82341,               0.008416,               0.008416,               0.008416
                     18,                0.52674,                0.42291,                 0.8486,                0.99901,                      1,                  0.995,                0.80053,                0.60512,                 0.5948,                0.81255,               0.008317,               0.008317,               0.008317
                     19,                0.53487,                0.42159,                0.83681,                0.99861,                      1,                  0.995,                0.84782,                0.57123,                0.60044,                0.82509,               0.008218,               0.008218,               0.008218
