                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1074,                 4.4527,                0.97165,                0.00261,                0.75833,                0.00246,                0.00172,                0.75162,                 3.9467,                 0.9147,                 0.0946,                 0.0006,                 0.0006
                      1,                0.80887,                 4.1689,                0.88476,                0.00325,                0.93333,                0.00393,                0.00324,                0.71738,                 3.7758,                 0.8952,               0.088296,              0.0012957,              0.0012957
                      2,                0.69534,                 2.5827,                0.84184,                0.00302,                0.89167,                0.01169,                0.01018,                0.68782,                 3.5278,                0.88107,               0.081987,              0.0019868,              0.0019868
                      3,                  0.684,                 2.6071,                0.84659,                0.00308,                0.90833,                0.17841,                0.14906,                0.67327,                 3.4995,                0.86923,               0.075673,              0.0026733,              0.0026733
                      4,                 0.6651,                 1.7065,                0.84387,                0.00373,                   0.95,                0.49645,                0.42988,                0.59235,                 3.4992,                0.86002,               0.069355,              0.0033551,              0.0033551
                      5,                 0.6641,                  1.521,                0.84639,                0.00383,                0.94167,                0.49846,                0.42079,                0.79833,                 3.5016,                0.89516,               0.063032,              0.0040324,              0.0040324
                      6,                0.68958,                 1.2284,                0.84849,                 0.0041,                0.98333,                0.50144,                0.42367,                0.59861,                 3.3673,                0.86372,               0.056705,               0.004705,               0.004705
                      7,                0.71378,                 1.1047,                0.85275,                0.00416,                0.99167,                0.78175,                0.62935,                0.78906,                 3.2346,                0.89477,               0.050373,              0.0053729,              0.0053729
                      8,                0.75436,                 1.0423,                0.84391,                0.00421,                      1,                0.92914,                0.75164,                0.74803,                 2.9212,                0.88911,               0.044036,              0.0060363,              0.0060363
                      9,                0.71829,                 1.0173,                0.84258,                      1,                0.29815,                  0.995,                0.81167,                0.71228,                 2.6299,                0.87447,               0.037695,              0.0066951,              0.0066951
                     10,                0.73329,                 1.0803,                0.87407,                0.99441,                    0.5,                  0.995,                0.77392,                0.83222,                 2.3507,                0.92754,               0.031349,              0.0073492,              0.0073492
                     11,                0.75993,                0.95729,                0.88765,                 0.9848,                    0.5,                  0.995,                0.72275,                0.98054,                 1.9142,                0.94687,               0.024999,              0.0079987,              0.0079987
                     12,                0.73441,                0.90959,                0.85745,                0.91968,                0.68799,                0.99031,                0.82327,                0.65759,                 1.7222,                 0.9019,               0.018644,              0.0086436,              0.0086436
                     13,                0.68366,                0.95818,                0.87612,                0.97955,                0.97953,                  0.995,                0.79874,                0.81334,                 1.0361,                0.90614,               0.012284,              0.0092839,              0.0092839
                     14,                0.70335,                0.85024,                0.86278,                0.94482,                0.97339,                  0.995,                0.80789,                0.79788,                0.93972,                0.95187,               0.009538,               0.009538,               0.009538
                     15,                0.68262,                0.78111,                0.87244,                0.99148,                      1,                  0.995,                0.80329,                0.78704,                 1.1127,                0.92923,               0.009538,               0.009538,               0.009538
                     16,                0.66334,                0.83079,                0.87438,                0.99622,                      1,                  0.995,                0.85731,                0.68203,                0.99893,                0.92153,               0.009505,               0.009505,               0.009505
                     17,                0.64722,                0.71667,                0.87351,                0.99243,                      1,                  0.995,                 0.8355,                0.68688,                 1.3093,                0.90549,               0.009472,               0.009472,               0.009472
                     18,                0.62627,                0.71033,                0.86445,                0.99594,                      1,                  0.995,                 0.7987,                 0.7783,                 1.1419,                 0.9355,               0.009439,               0.009439,               0.009439
                     19,                 0.6191,                0.69004,                0.87491,                0.99554,                      1,                  0.995,                0.84012,                0.64076,                0.71996,                0.89078,               0.009406,               0.009406,               0.009406
                     20,                0.58153,                0.65553,                 0.8634,                0.99722,                      1,                  0.995,                 0.8378,                0.63942,                0.80021,                0.90028,               0.009373,               0.009373,               0.009373
                     21,                0.55981,                0.60523,                0.85898,                0.99878,                      1,                  0.995,                 0.8698,                0.59509,                0.81422,                0.88099,                0.00934,                0.00934,                0.00934
                     22,                0.54932,                0.53434,                0.84761,                0.99898,                      1,                  0.995,                0.85113,                0.61933,                0.78048,                0.88082,               0.009307,               0.009307,               0.009307
                     23,                0.57402,                0.53273,                0.85589,                0.99478,                      1,                  0.995,                0.85754,                0.59033,                0.68747,                0.86524,               0.009274,               0.009274,               0.009274
                     24,                0.53939,                0.53222,                0.83473,                0.95063,                0.99521,                  0.995,                0.84068,                0.65844,                 1.2286,                0.89907,               0.009241,               0.009241,               0.009241
                     25,                 0.5648,                0.56149,                 0.8502,                0.99663,                      1,                  0.995,                 0.8834,                0.58605,                 0.6714,                0.86223,               0.009208,               0.009208,               0.009208
                     26,                0.51746,                0.51082,                0.82948,                  0.999,                      1,                  0.995,                0.83515,                0.65632,                0.93536,                0.89701,               0.009175,               0.009175,               0.009175
                     27,                0.51601,                0.51957,                0.83727,                0.99906,                      1,                  0.995,                0.86462,                0.55366,                0.70874,                0.86485,               0.009142,               0.009142,               0.009142
                     28,                0.50343,                0.46105,                0.83534,                0.99849,                      1,                  0.995,                0.82782,                0.64254,                0.86789,                0.88959,               0.009109,               0.009109,               0.009109
                     29,                0.52672,                0.46447,                0.84125,                0.99387,                0.99896,                  0.995,                 0.8763,                0.57005,                0.57372,                 0.8614,               0.009076,               0.009076,               0.009076
                     30,                0.52371,                0.48109,                0.83045,                0.99895,                      1,                  0.995,                0.87364,                0.51962,                0.57166,                0.85373,               0.009043,               0.009043,               0.009043
                     31,                0.46657,                0.45744,                0.81951,                0.99901,                      1,                  0.995,                0.89243,                0.48643,                0.60728,                0.84151,                0.00901,                0.00901,                0.00901
                     32,                0.45679,                0.46986,                0.82181,                0.99889,                      1,                  0.995,                0.90337,                0.47126,                0.57636,                0.82742,               0.008977,               0.008977,               0.008977
                     33,                0.47853,                 0.4374,                0.82077,                0.99892,                      1,                  0.995,                0.86432,                0.58373,                0.73797,                0.85709,               0.008944,               0.008944,               0.008944
                     34,                0.49949,                0.43513,                0.82744,                0.99907,                      1,                  0.995,                0.91431,                0.48042,                0.52367,                0.82903,               0.008911,               0.008911,               0.008911
                     35,                0.48797,                0.41813,                 0.8244,                0.99903,                      1,                  0.995,                0.87433,                0.51193,                0.48297,                0.84439,               0.008878,               0.008878,               0.008878
                     36,                0.47861,                0.40009,                0.82805,                0.99908,                      1,                  0.995,                0.92211,                0.42203,                0.40902,                0.81606,               0.008845,               0.008845,               0.008845
                     37,                0.46165,                0.40595,                 0.8231,                0.99903,                      1,                  0.995,                0.91344,                0.44001,                0.52729,                0.82045,               0.008812,               0.008812,               0.008812
                     38,                0.44664,                 0.4177,                0.81578,                0.99887,                      1,                  0.995,                0.90906,                0.47257,                0.46358,                0.82839,               0.008779,               0.008779,               0.008779
                     39,                0.43647,                0.40456,                0.81487,                0.99869,                      1,                  0.995,                0.89199,                0.50689,                0.49998,                0.84449,               0.008746,               0.008746,               0.008746
                     40,                0.48334,                 0.4305,                0.83513,                0.99814,                      1,                  0.995,                0.90851,                0.44867,                0.38596,                0.82106,               0.008713,               0.008713,               0.008713
                     41,                0.42801,                0.39454,                0.81532,                0.99897,                      1,                  0.995,                0.91215,                0.42479,                0.39726,                0.82305,                0.00868,                0.00868,                0.00868
                     42,                0.44631,                0.39208,                0.80594,                0.99862,                      1,                  0.995,                0.91446,                0.48016,                0.43934,                0.83596,               0.008647,               0.008647,               0.008647
                     43,                0.45264,                0.40478,                0.82532,                0.99772,                      1,                  0.995,                0.91792,                 0.4384,                0.39762,                0.82609,               0.008614,               0.008614,               0.008614
                     44,                0.42564,                0.38371,                0.81794,                0.99906,                      1,                  0.995,                0.90954,                0.44071,                0.40529,                0.81813,               0.008581,               0.008581,               0.008581
                     45,                0.43477,                0.38849,                 0.8142,                0.99875,                      1,                  0.995,                0.91692,                0.42222,                0.38528,                0.81601,               0.008548,               0.008548,               0.008548
                     46,                 0.4362,                0.38296,                0.81528,                0.99873,                      1,                  0.995,                0.92987,                0.39347,                0.37372,                0.81163,               0.008515,               0.008515,               0.008515
                     47,                  0.424,                0.35673,                0.80918,                0.99799,                      1,                  0.995,                0.92215,                0.40922,                0.37745,                 0.8094,               0.008482,               0.008482,               0.008482
                     48,                0.41855,                 0.3598,                 0.8119,                0.99849,                      1,                  0.995,                0.92831,                0.42103,                0.37707,                0.81375,               0.008449,               0.008449,               0.008449
                     49,                0.42911,                 0.3682,                0.81564,                0.99884,                      1,                  0.995,                0.94243,                0.37715,                0.34472,                 0.8069,               0.008416,               0.008416,               0.008416
                     50,                0.41964,                 0.3582,                0.79785,                0.99854,                      1,                  0.995,                0.94021,                0.41794,                0.36714,                0.81319,               0.008383,               0.008383,               0.008383
                     51,                0.41593,                0.35687,                0.81537,                0.99872,                      1,                  0.995,                0.89992,                0.46339,                0.38026,                0.82432,                0.00835,                0.00835,                0.00835
                     52,                 0.4245,                0.35759,                0.80282,                0.99857,                      1,                  0.995,                0.91498,                0.42234,                 0.3536,                0.82432,               0.008317,               0.008317,               0.008317
                     53,                 0.3941,                0.35464,                0.80543,                0.99758,                      1,                  0.995,                0.89773,                0.43445,                0.34868,                 0.8199,               0.008284,               0.008284,               0.008284
                     54,                0.39797,                 0.3493,                0.82278,                0.99852,                      1,                  0.995,                0.92413,                0.40708,                0.34437,                0.81328,               0.008251,               0.008251,               0.008251
                     55,                0.39107,                0.33864,                0.80343,                0.99846,                      1,                  0.995,                0.93928,                0.36508,                0.32281,                0.81002,               0.008218,               0.008218,               0.008218
                     56,                0.39387,                0.33572,                0.80452,                0.99851,                      1,                  0.995,                0.93501,                0.36468,                 0.3085,                0.80642,               0.008185,               0.008185,               0.008185
                     57,                0.38063,                0.32556,                0.80252,                  0.999,                      1,                  0.995,                0.92417,                0.38141,                0.33149,                0.81525,               0.008152,               0.008152,               0.008152
                     58,                 0.3812,                0.33103,                0.80544,                0.99852,                      1,                  0.995,                 0.9321,                0.40097,                 0.3411,                0.81632,               0.008119,               0.008119,               0.008119
                     59,                0.39271,                0.33151,                0.80312,                0.99867,                      1,                  0.995,                0.94467,                 0.3639,                0.34147,                0.81309,               0.008086,               0.008086,               0.008086
                     60,                0.41164,                0.33746,                0.81634,                0.99866,                      1,                  0.995,                0.94342,                0.40411,                0.32004,                0.81083,               0.008053,               0.008053,               0.008053
                     61,                0.37785,                 0.3252,                0.80101,                0.99859,                      1,                  0.995,                0.92262,                0.40642,                0.31212,                0.81611,                0.00802,                0.00802,                0.00802
                     62,                0.37145,                0.31841,                0.79212,                0.99815,                      1,                  0.995,                0.92561,                0.40873,                0.33248,                0.81416,               0.007987,               0.007987,               0.007987
                     63,                 0.3798,                0.32894,                0.80462,                0.99808,                      1,                  0.995,                0.93736,                0.37974,                0.30743,                0.80923,               0.007954,               0.007954,               0.007954
                     64,                0.38152,                0.31674,                0.81019,                0.99796,                      1,                  0.995,                0.91673,                0.43292,                0.33188,                0.81902,               0.007921,               0.007921,               0.007921
                     65,                0.37521,                0.32354,                0.79982,                0.99806,                      1,                  0.995,                0.93857,                0.37412,                0.32894,                0.80894,               0.007888,               0.007888,               0.007888
