                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0462,                 7.4207,                0.90182,                0.05331,                0.48333,                0.06237,                0.05145,                0.66691,                 2.9561,                0.78874,                 0.0937,                 0.0007,                 0.0007
                      1,                0.94495,                 5.5062,                0.87411,                0.99849,                      1,                  0.995,                0.90917,                0.44081,                 1.1893,                0.76836,               0.086485,              0.0014851,              0.0014851
                      2,                0.61662,                0.82784,                0.84157,                0.99892,                      1,                  0.995,                0.90862,                0.43208,                0.35039,                0.77306,               0.079254,              0.0022545,              0.0022545
                      3,                0.56177,                0.48831,                 0.8466,                0.99908,                      1,                  0.995,                0.94311,                0.34871,                0.33569,                0.76573,               0.072008,              0.0030079,              0.0030079
                      4,                0.53534,                0.46992,                0.82146,                 0.9984,                      1,                  0.995,                0.89427,                0.48675,                0.39554,                0.78083,               0.064746,              0.0037456,              0.0037456
                      5,                0.57868,                  0.432,                0.85095,                 0.9989,                      1,                  0.995,                0.93729,                0.40595,                0.36528,                0.78791,               0.057467,              0.0044673,              0.0044673
                      6,                0.55228,                0.54016,                0.83286,                  0.999,                      1,                  0.995,                0.88358,                0.42547,                0.37388,                0.79208,               0.050173,              0.0051733,              0.0051733
                      7,                0.56271,                0.45243,                0.82998,                0.99903,                      1,                  0.995,                0.88437,                0.47057,                0.32416,                0.79329,               0.042863,              0.0058634,              0.0058634
                      8,                0.62008,                0.47932,                0.84741,                0.99886,                      1,                  0.995,                0.90385,                 0.3975,                0.32628,                 0.7689,               0.035538,              0.0065377,              0.0065377
                      9,                0.54647,                0.52994,                0.82991,                0.99907,                      1,                  0.995,                0.89619,                0.42706,                 0.3218,                0.77245,               0.028196,              0.0071961,              0.0071961
                     10,                0.61829,                0.47629,                0.86406,                0.99902,                      1,                  0.995,                 0.9021,                0.47555,                0.40886,                0.78902,               0.020839,              0.0078387,              0.0078387
                     11,                0.60747,                0.47517,                0.84678,                0.99907,                      1,                  0.995,                0.85254,                0.50954,                 0.4443,                0.80727,               0.013465,              0.0084655,              0.0084655
                     12,                0.67188,                0.49656,                0.86646,                0.99678,                      1,                  0.995,                0.88113,                0.47024,                0.67862,                0.80301,               0.008812,               0.008812,               0.008812
                     13,                0.59407,                0.54135,                0.84718,                      1,                0.99916,                  0.995,                0.86894,                0.52223,                0.57983,                0.81898,               0.008812,               0.008812,               0.008812
                     14,                0.60837,                0.59137,                0.85719,                0.99902,                      1,                  0.995,                0.90035,                0.44337,                0.61225,                0.79695,               0.008713,               0.008713,               0.008713
                     15,                0.54177,                0.49052,                0.84806,                0.99533,                      1,                  0.995,                0.91957,                0.46212,                0.61048,                0.79567,               0.008614,               0.008614,               0.008614
                     16,                 0.5859,                 0.4365,                 0.8526,                0.99894,                      1,                  0.995,                0.85284,                0.54064,                0.59707,                0.81332,               0.008515,               0.008515,               0.008515
                     17,                0.60721,                0.43912,                0.86814,                0.99876,                      1,                  0.995,                0.89686,                0.48453,                0.62617,                0.81306,               0.008416,               0.008416,               0.008416
                     18,                0.55404,                0.43438,                0.85451,                  0.982,                      1,                  0.995,                 0.8715,                0.51891,                0.71643,                0.82439,               0.008317,               0.008317,               0.008317
                     19,                0.52868,                0.38894,                0.83675,                0.99773,                      1,                  0.995,                0.87875,                 0.5464,                0.52861,                0.81916,               0.008218,               0.008218,               0.008218
                     20,                0.56637,                0.39937,                0.83896,                0.99855,                      1,                  0.995,                0.84191,                 0.5862,                0.65597,                 0.8379,               0.008119,               0.008119,               0.008119
                     21,                0.53297,                0.38974,                0.84216,                 0.9991,                      1,                  0.995,                0.88938,                0.51476,                0.43219,                0.83041,                0.00802,                0.00802,                0.00802
                     22,                0.53715,                0.37564,                0.82903,                  0.999,                      1,                  0.995,                0.86967,                0.59117,                0.44727,                0.85058,               0.007921,               0.007921,               0.007921
                     23,                0.53319,                0.37821,                0.83499,                0.99908,                      1,                  0.995,                0.88783,                0.48713,                0.39996,                0.83276,               0.007822,               0.007822,               0.007822
                     24,                0.50552,                 0.3689,                 0.8564,                 0.9991,                      1,                  0.995,                0.86921,                0.51148,                0.43202,                0.84895,               0.007723,               0.007723,               0.007723
                     25,                0.50667,                0.36288,                 0.8421,                0.99911,                      1,                  0.995,                0.89106,                0.54384,                 0.3987,                0.83611,               0.007624,               0.007624,               0.007624
                     26,                0.50414,                0.35479,                0.83124,                0.99913,                      1,                  0.995,                0.88715,                0.46553,                0.39531,                0.81148,               0.007525,               0.007525,               0.007525
                     27,                0.51117,                 0.3563,                0.83233,                0.99903,                      1,                  0.995,                0.93211,                0.42185,                0.36055,                0.79926,               0.007426,               0.007426,               0.007426
                     28,                0.48133,                0.33706,                0.83422,                0.99904,                      1,                  0.995,                0.91558,                0.41653,                0.32448,                0.80532,               0.007327,               0.007327,               0.007327
                     29,                0.45759,                0.32939,                0.82227,                0.99898,                      1,                  0.995,                0.94084,                0.37671,                0.31026,                 0.8036,               0.007228,               0.007228,               0.007228
                     30,                0.46617,                0.31963,                0.81738,                0.99908,                      1,                  0.995,                0.93766,                0.36886,                 0.3347,                0.79775,               0.007129,               0.007129,               0.007129
                     31,                0.44891,                 0.3188,                0.81989,                0.99897,                      1,                  0.995,                0.92751,                0.43028,                0.33802,                0.80148,                0.00703,                0.00703,                0.00703
                     32,                 0.4473,                0.31279,                0.82718,                0.99909,                      1,                  0.995,                0.93883,                0.43369,                0.35246,                0.81041,               0.006931,               0.006931,               0.006931
                     33,                0.46461,                0.31418,                0.81959,                0.99908,                      1,                  0.995,                0.94092,                0.39743,                0.33567,                0.80336,               0.006832,               0.006832,               0.006832
                     34,                0.46069,                0.30876,                0.82644,                0.99905,                      1,                  0.995,                0.95483,                 0.3343,                0.28687,                0.79164,               0.006733,               0.006733,               0.006733
